"MAJOR1","STUID","SCICAREER","SCIENCE_SELF_EFFICACY","SCIENCE_IDENTITY","ACADEMIC_SELFCONCEPT","HABITS_OF_MIND","MAJORGPA","GOAL19","GOAL11","GOAL04","RESEARCH","HPW17","HPW29","HPW28","HPW09","HPW04","HPW24","HPW06","HPW27","HPW02","major","SCIENCE_SELF_EFFICACY_z","SCIENCE_IDENTITY_z","ACADEMIC_SELFCONCEPT_z","HABITS_OF_MIND_z"
115,"901895829",4,55.65,58.72,40.17,49.65,6,2,2,1,6,5,3,4,4,2,5,2,2,2,"Health Professions",0.358684081876967,0.817176078101852,-1.24130747247528,-0.383090930894335
121,"901895899",2,50.71,57.22,47.41,55.65,7,4,4,2,5,7,5,5,5,4,3,2,1,1,"Health Professions",-0.033943594099499,0.6833619288322,-0.419125999584035,0.311195155315645
121,"901896195",2,55.65,33.36,50.01,54.14,8,1,4,4,5,6,5,6,2,4,4,4,5,4,"Health Professions",0.358684081876967,-1.44517513888373,-0.123867459595467,0.136466490286133
663,"901896199",1,62.32,54.89,68.3,55.03,4,2,4,3,2,4,4,8,6,5,6,7,1,5,"Biological & Life Sciences",0.888810923731832,0.475503950300007,1.95316280824719,0.239452259740614
121,"901896207",1,55.65,53.77,50.09,47.46,6,1,4,2,5,5,3,4,3,5,3,5,3,3,"Health Professions",0.358684081876967,0.375589385512,-0.114782581441972,-0.636505352360977
445,"901896490",1,44.57,41.4,68.3,53.16,7,1,3,2,3,6,1,4,3,1,3,4,5,3,"Math & Computer Science",-0.52194641403786,-0.727931298798397,1.95316280824719,0.0230664295385029
768,"901897031",2,54.37,48.45,24.96,47.37,2,2,3,2,4,4,3,4,5,1,5,1,1,3,"Engineering",0.25695059498428,-0.0990047972310323,-2.96856993140839,-0.646919643654127
121,"901897165",2,54.83,54.43,49.33,62.75,7,2,4,2,1,8,4,7,3,7,1,5,4,4,"Health Professions",0.293511066836339,0.434467611190647,-0.201088923900169,1.13276702399745
115,"901898472",3,70.93,65.36,54.18,52.81,4,2,4,4,5,7,5,6,4,4,3,3,4,2,"Health Professions",1.57312758165843,1.40952671220218,0.349681814155428,-0.0174335921570786
445,"901898600",1,53.78,64.91,42.83,49.88,5,1,3,2,1,7,6,6,7,3,5,4,5,3,"Math & Computer Science",0.210057815869682,1.36938246742128,-0.939235273871588,-0.356476630922952
114,"901898793",5,70.93,70.79,61.34,62.07,6,2,4,3,2,6,4,6,3,5,4,6,6,3,"Health Professions",1.57312758165843,1.89393393255832,1.16277840889317,1.05408126756032
448,"901899090",2,70.93,46.66,68.3,58.75,8,1,3,2,2,8,1,6,5,4,4,5,1,2,"Math & Computer Science",1.57312758165843,-0.258689682026151,1.95316280824719,0.669909633190801
445,"901899128",5,70.93,70.79,64.45,55.52,8,4,4,4,5,8,5,5,3,2,2,4,1,5,"Math & Computer Science",1.57312758165843,1.89393393255832,1.51595304711027,0.296152290114429
445,"901899130",5,70.93,58,50.75,59.19,8,2,4,3,6,8,5,4,4,6,3,4,1,4,"Math & Computer Science",1.57312758165843,0.752945286452419,-0.039832336675644,0.720823946179532
768,"901899133",4,60.57,70.79,50.09,50.2,7,3,4,1,5,4,4,5,5,4,4,4,5,2,"Engineering",0.749722172120736,1.89393393255832,-0.114782581441972,-0.31944803965842
121,"901899312",3,53.68,63.52,54.18,62.75,8,2,4,4,5,6,4,7,7,4,4,5,1,4,"Health Professions",0.20210988720619,1.24538135576474,0.349681814155428,1.13276702399745
450,"901899506",3,70.93,61.67,41.08,49.65,5,1,4,1,1,5,4,8,4,4,4,3,2,3,"Math & Computer Science",1.57312758165843,1.08034390499883,-1.13796698347928,-0.383090930894335
447,"901899520",1,44.52,49.06,62.01,49.93,7,1,4,3,2,6,3,5,5,1,6,4,7,3,"Math & Computer Science",-0.525920378369606,-0.0445870431947072,1.23886426342869,-0.350690913537869
771,"901899685",5,70.93,70.79,61.34,66.43,8,4,4,3,6,7,7,6,3,2,5,8,3,3,"Engineering",1.57312758165843,1.89393393255832,1.16277840889317,1.55859582353958
768,"901899879",2,53.77,52.48,52.39,49.59,6,1,3,3,5,8,5,8,6,4,5,6,1,2,"Engineering",0.209263023003333,0.260509217140099,0.146407665470991,-0.390033791756434
663,"901899952",3,48.95,57.91,48.62,39.95,4,1,3,2,5,5,3,4,4,5,5,1,1,1,"Biological & Life Sciences",-0.173827138576944,0.744916437496239,-0.281717217512432,-1.50552010360047
448,"901900105",2,42.95,47.75,42.83,39.71,5,2,4,4,3,4,2,8,7,6,6,3,1,1,"Math & Computer Science",-0.650702858386418,-0.161451400223537,-0.939235273871588,-1.53329154704887
562,"901900141",1,44.62,52.52,50.09,57.25,6,1,4,1,1,5,2,7,4,3,4,5,2,3,"Physical Science",-0.517972449706115,0.264077594453957,-0.114782581441972,0.496338111638306
453,"901900473",2,52.5,70.79,59.97,53.88,8,3,3,2,1,6,6,8,3,3,5,4,1,3,"Math & Computer Science",0.108324328976994,1.89393393255832,1.00719987051458,0.106380759883701
453,"901900491",3,44.62,52.52,38.97,39.95,7,2,2,2,6,5,5,5,5,4,5,4,5,4,"Math & Computer Science",-0.517972449706115,0.264077594453957,-1.37758064477769,-1.50552010360047
453,"901900852",2,51.95,52.91,52.39,39.95,5,2,3,2,1,4,3,5,3,6,3,6,1,2,"Math & Computer Science",0.0646107213277923,0.298869273264066,0.146407665470991,-1.50552010360047
663,"901901620",1,55.65,33.36,61.34,59.89,7,1,4,4,1,8,8,7,4,3,1,5,1,3,"Biological & Life Sciences",0.358684081876967,-1.44517513888373,1.16277840889317,0.801823989570697
115,"901901935",5,55.65,61.82,59.31,49.49,7,4,4,4,4,6,3,5,3,3,4,4,5,2,"Health Professions",0.358684081876967,1.0937253199258,0.932249625748255,-0.401605226526601
453,"901901976",1,51.99,50.68,56.27,61.5,6,2,4,4,1,8,4,8,4,4,5,5,1,5,"Math & Computer Science",0.0677898927931888,0.0999322380165168,0.587024255915468,0.988124089370375
663,"901902083",2,30.32,33.36,58.3,37.9,8,1,2,1,3,5,2,5,2,1,5,4,3,2,"Biological & Life Sciences",-1.65452624858536,-1.44517513888373,0.817553039060388,-1.74273451638888
453,"901902109",2,63.04,52.07,68.3,55.03,8,2,4,4,1,6,4,5,4,2,4,4,1,3,"Math & Computer Science",0.946036010108969,0.223933349673061,1.95316280824719,0.239452259740614
453,"901902114",2,62.32,61.67,64.45,55.35,5,1,4,3,1,4,3,5,4,2,4,6,6,3,"Math & Computer Science",0.888810923731832,1.08034390499883,1.51595304711027,0.276480851005146
115,"901902135",5,70.93,68.09,68.3,60.82,8,4,3,3,4,6,4,6,4,4,4,4,4,2,"Health Professions",1.57312758165843,1.65306846387295,1.95316280824719,0.909438332933244
446,"901902245",1,42.61,38.46,56.27,39.36,7,2,2,3,2,7,6,5,5,4,3,4,1,1,"Math & Computer Science",-0.677725815842288,-0.990207031366915,0.587024255915468,-1.57379156874445
121,"901902340",3,70.93,70.79,64.29,66.43,8,2,4,3,6,8,3,8,4,4,4,5,1,2,"Health Professions",1.57312758165843,1.89393393255832,1.49778329080328,1.55859582353958
445,"901902399",3,50.02,59.5,52.39,51.16,4,1,2,2,1,5,4,5,4,2,4,2,5,4,"Math & Computer Science",-0.0887843018775882,0.886759435722071,0.146407665470991,-0.208362265864824
114,"901902533",4,52.99,58.78,43.95,53.16,6,2,4,2,5,6,3,6,5,3,5,7,4,5,"Health Professions",0.147269179428101,0.822528644072638,-0.812046979722666,0.0230664295385029
663,"901906447",2,50.54,50.67,40.67,42.79,7,1,4,2,1,5,5,7,5,6,4,5,6,3,"Biological & Life Sciences",-0.0474550728274342,0.0990401436880526,-1.18452698401594,-1.17689135612774
115,"901908432",4,44.62,52.52,52.39,42.09,5,2,3,2,1,6,2,4,2,5,3,1,1,3,"Health Professions",-0.517972449706115,0.264077594453957,0.146407665470991,-1.25789139951891
121,"901908749",4,48.63,59.5,61.34,53.67,8,1,3,2,6,6,3,4,5,2,5,4,5,2,"Health Professions",-0.199260510300116,0.886759435722071,1.16277840889317,0.0820807468663518
448,"901909269",2,70.93,70.79,68.3,62.07,8,4,4,4,5,8,4,6,3,6,6,3,4,3,"Math & Computer Science",1.57312758165843,1.89393393255832,1.95316280824719,1.05408126756032
121,"901911131",3,44.62,49.27,40.8,58.15,5,1,3,3,5,5,2,2,3,3,3,5,1,3,"Health Professions",-0.517972449706115,-0.0258530622969558,-1.16976405701651,0.600481024569803
115,"901911620",5,65.98,70.79,64.45,56.56,8,2,4,2,6,7,3,4,5,4,2,3,5,2,"Health Professions",1.17970511281561,1.89393393255832,1.51595304711027,0.416495211724159
446,"901911624",3,70.93,53.25,61.03,66.43,8,2,4,2,3,7,2,5,4,2,5,3,3,1,"Math & Computer Science",1.57312758165843,0.329200480431854,1.12757450604838,1.55859582353958
442,"901917050",1,53.68,50,54.18,41.37,8,1,4,3,1,5,3,7,7,8,5,2,5,3,"Math & Computer Science",0.20210988720619,0.0392698236809412,0.349681814155428,-1.34120572986411
121,"901917588",3,52.84,61.67,59.31,44.52,7,3,3,2,3,8,4,7,5,3,4,5,5,3,"Health Professions",0.135347286432864,1.08034390499883,0.932249625748255,-0.976705534603868
121,"901917814",2,63.37,54.12,56.9,51.1,7,1,3,3,5,5,1,4,5,2,3,2,1,3,"Health Professions",0.97226417469849,0.406812687008252,0.658567671374236,-0.215305126726923
445,"901917965",4,56.49,61.67,64.45,54.33,8,2,3,3,3,7,2,2,3,1,5,6,1,3,"Math & Computer Science",0.425446682650294,1.08034390499883,1.51595304711027,0.158452216349449
663,"901918201",1,55.65,46.92,62.01,53,8,1,4,2,3,8,4,5,4,5,1,1,4,3,"Biological & Life Sciences",0.358684081876967,-0.235495229486077,1.23886426342869,0.00455213390623716
448,"901918634",2,46.81,50.67,59.31,47.9,7,1,2,2,4,5,2,8,6,4,4,3,1,3,"Math & Computer Science",-0.343912811975657,0.0990401436880526,0.932249625748255,-0.585591039372246
562,"901918652",3,57.76,61.67,64.45,58.95,8,3,4,3,1,5,2,4,3,2,3,4,3,2,"Physical Science",0.526385376676632,1.08034390499883,1.51595304711027,0.693052502731134
453,"901918771",1,44.62,52.52,35.08,49.56,4,2,2,2,1,6,5,5,4,3,3,3,3,3,"Math & Computer Science",-0.517972449706115,0.264077594453957,-1.81933284499136,-0.393505222187484
453,"901919034",2,66.02,45.37,64.45,53.07,7,3,4,4,3,4,4,5,3,2,4,4,3,2,"Math & Computer Science",1.18288428428101,-0.373769850398052,1.51595304711027,0.0126521382453536
445,"901919616",4,59.45,52.84,61.34,59.19,7,3,3,3,1,8,3,4,5,3,3,5,1,1,"Math & Computer Science",0.660705371089634,0.292624612964816,1.16277840889317,0.720823946179532
445,"901919747",2,51.95,54.08,62.01,42.86,5,2,3,2,1,5,1,8,7,1,5,2,3,3,"Math & Computer Science",0.0646107213277923,0.403244309694395,1.23886426342869,-1.16879135178863
121,"901920034",2,52.04,55.94,51.9,55.28,5,1,4,2,1,6,5,5,5,5,2,4,1,5,"Health Professions",0.0717638571249342,0.569173854788763,0.0907627867808376,0.26838084666603
447,"901920055",5,70.93,59.5,61.34,66.43,8,2,4,3,5,7,5,6,4,5,4,5,5,4,"Math & Computer Science",1.57312758165843,0.886759435722071,1.16277840889317,1.55859582353958
121,"901920418",3,70.93,70.79,56.38,58.15,7,2,3,3,2,8,4,7,4,3,5,5,1,2,"Health Professions",1.57312758165843,1.89393393255832,0.599515963376523,0.600481024569803
453,"901920430",2,54.08,49.26,55,53.88,7,1,3,3,1,5,3,4,2,2,2,4,5,3,"Math & Computer Science",0.233901601860155,-0.0267451566254206,0.442801815228745,0.106380759883701
453,"901920450",3,55.97,41.15,62.01,48.08,6,1,3,2,3,7,3,7,4,2,4,4,1,3,"Math & Computer Science",0.384117453600139,-0.750233657010006,1.23886426342869,-0.564762456785946
445,"901920539",4,55.65,52.52,52.39,66.43,6,2,2,2,1,6,4,4,2,5,2,4,3,2,"Math & Computer Science",0.358684081876967,0.264077594453957,0.146407665470991,1.55859582353958
562,"901920703",2,70.93,59.5,56.75,48.06,8,2,3,3,1,5,3,6,4,2,5,6,4,1,"Physical Science",1.57312758165843,0.886759435722071,0.641533524836435,-0.567076743739979
663,"901920737",1,47.77,49.27,51.11,47.03,7,2,2,1,1,4,3,6,4,2,3,2,4,2,"Biological & Life Sciences",-0.267612696806141,-0.0258530622969558,0.00104961501508065,-0.686262521872692
663,"901920785",1,46.81,45.31,59.31,56.52,8,1,4,3,3,7,4,5,4,4,2,4,5,3,"Biological & Life Sciences",-0.343912811975657,-0.379122416368837,0.932249625748255,0.411866637816092
445,"901920904",2,45.24,57.91,51.11,44.82,7,1,2,1,1,5,6,6,6,4,8,4,5,4,"Math & Computer Science",-0.468695291992469,0.744916437496239,0.00104961501508065,-0.941991230293368
445,"901920905",2,55.65,57.53,50.09,44.95,4,1,3,2,1,5,4,5,5,2,4,4,1,2,"Math & Computer Science",0.358684081876967,0.711016853014595,-0.114782581441972,-0.926948365092152
562,"901920977",1,41.69,59.5,50.75,46.16,7,1,3,3,1,8,6,7,8,8,5,4,6,2,"Physical Science",-0.750846759546408,0.886759435722071,-0.039832336675644,-0.78693400437314
114,"901921002",5,70.93,70.79,64.45,66.43,7,4,4,4,6,8,8,4,4,5,2,3,4,4,"Health Professions",1.57312758165843,1.89393393255832,1.51595304711027,1.55859582353958
115,"901921005",3,41.58,55.79,54.44,51.41,7,2,4,1,6,8,1,5,1,1,3,5,1,3,"Health Professions",-0.759589481076248,0.555792439861798,0.379207668154284,-0.179433678939408
117,"901921345",2,70.93,59.5,64.29,53.89,8,2,3,3,5,8,1,5,4,4,2,5,7,4,"Health Professions",1.57312758165843,0.886759435722071,1.49778329080328,0.107537903360718
115,"901921459",4,70.93,64.49,64.29,62.5,7,3,4,4,6,8,7,8,5,5,3,2,4,4,"Health Professions",1.57312758165843,1.33191450562578,1.49778329080328,1.10383843707204
447,"901921685",2,61.01,50,64.45,39.95,8,1,3,2,1,7,2,5,2,8,4,8,1,1,"Math & Computer Science",0.784693058240097,0.0392698236809412,1.51595304711027,-1.50552010360047
445,"901921814",4,58.71,59.5,50.09,54.97,7,2,3,2,4,6,4,5,4,3,2,4,6,4,"Math & Computer Science",0.601890698979799,0.886759435722071,-0.114782581441972,0.232509398878514
123,"901922050",1,63.37,63.52,62.01,48.22,6,2,3,3,1,4,2,8,5,4,6,5,1,3,"Health Professions",0.97226417469849,1.24538135576474,1.23886426342869,-0.548562448107713
450,"901922054",3,63.61,61.67,65.28,62.07,6,2,2,2,1,6,4,5,2,3,4,5,7,4,"Math & Computer Science",0.991339203490869,1.08034390499883,1.61020865795277,1.05408126756032
664,"901923261",2,70.93,62.59,64.45,54.61,8,1,3,2,4,8,5,8,3,2,2,4,1,2,"Biological & Life Sciences",1.57312758165843,1.16241658321755,1.51595304711027,0.190852233705915
771,"901923455",5,70.93,70.79,52.39,66.43,7,4,4,2,6,6,5,4,3,5,2,3,6,2,"Engineering",1.57312758165843,1.89393393255832,0.146407665470991,1.55859582353958
446,"901923625",3,55.65,59.5,64.29,41.57,7,1,2,2,1,5,4,5,3,5,2,4,1,1,"Math & Computer Science",0.358684081876967,0.886759435722071,1.49778329080328,-1.31806286032377
453,"901923641",1,52.04,49.27,64.45,48.7,6,2,4,3,1,8,7,8,6,4,2,5,5,4,"Math & Computer Science",0.0717638571249342,-0.0258530622969558,1.51595304711027,-0.493019561210915
121,"901923764",4,55.65,66.29,47.65,54.97,8,4,4,4,6,7,4,5,4,4,2,5,1,4,"Health Professions",0.358684081876967,1.49249148474936,-0.391871365123551,0.232509398878514
453,"901923811",2,54.9,49.44,68.3,53,7,1,3,3,1,6,4,6,4,3,4,5,4,3,"Math & Computer Science",0.299074616900783,-0.0106874587130624,1.95316280824719,0.00455213390623716
445,"901924262",4,54.08,59.5,59.31,47.46,7,1,3,3,4,8,5,6,4,1,5,3,5,4,"Math & Computer Science",0.233901601860155,0.886759435722071,0.932249625748255,-0.636505352360977
121,"901924510",1,62.06,54.89,50.09,49.93,7,3,3,3,5,8,6,8,5,4,3,5,5,2,"Health Professions",0.868146309206755,0.475503950300007,-0.114782581441972,-0.350690913537869
115,"901924800",4,62.06,64.91,64.29,55.26,8,3,4,3,2,7,3,3,3,1,2,8,1,2,"Health Professions",0.868146309206755,1.36938246742128,1.49778329080328,0.266066559711996
117,"901924885",5,61.36,70.79,54.18,54.97,7,4,3,4,6,8,4,6,5,3,4,6,5,5,"Health Professions",0.812510808562316,1.89393393255832,0.349681814155428,0.232509398878514
450,"901925063",3,50.01,56.96,54.27,48.24,8,2,3,2,1,6,5,6,4,5,5,4,4,2,"Math & Computer Science",-0.0895790947439378,0.660167476292127,0.359902302078108,-0.54624816115368
121,"901925102",1,68.11,51.78,54.18,55.35,5,1,4,2,5,7,2,6,4,3,2,7,1,2,"Health Professions",1.34899599334797,0.198062614147595,0.349681814155428,0.276480851005146
771,"901925213",3,70.93,70.79,68.3,39.95,7,3,4,3,6,1,1,1,1,1,1,1,1,1,"Engineering",1.57312758165843,1.89393393255832,1.95316280824719,-1.50552010360047
442,"901925586",2,55.65,47.75,48.6,57.25,6,1,3,2,4,5,4,5,3,3,2,3,4,5,"Math & Computer Science",0.358684081876967,-0.161451400223537,-0.283988437050805,0.496338111638306
448,"901926006",2,49.93,59.5,65.28,55.35,8,2,3,3,1,6,2,5,4,6,4,3,5,3,"Math & Computer Science",-0.0959374376747306,0.886759435722071,1.61020865795277,0.276480851005146
663,"901926170",2,56.49,60.9,38.97,66.43,7,3,3,3,4,4,4,4,4,4,4,4,4,4,"Biological & Life Sciences",0.425446682650294,1.01165264170708,-1.37758064477769,1.55859582353958
442,"901926217",1,49.51,43.82,64.45,45.38,4,1,3,4,2,5,4,5,3,3,4,2,5,4,"Math & Computer Science",-0.129318738061394,-0.512044471310025,1.51595304711027,-0.877191195580437
453,"901926298",4,47.21,49.26,56.02,52.13,8,1,4,3,1,7,6,5,4,5,3,5,5,3,"Math & Computer Science",-0.312121097321692,-0.0267451566254206,0.558634011685798,-0.0961193485942096
448,"901926302",2,42.95,54.43,59.97,48.24,7,1,4,1,2,7,5,6,4,5,4,4,5,2,"Math & Computer Science",-0.650702858386418,0.434467611190647,1.00719987051458,-0.54624816115368
121,"901926485",5,70.93,70.79,54.48,56.87,8,4,3,4,6,4,1,3,4,1,5,1,1,1,"Health Professions",1.57312758165843,1.89393393255832,0.383750107231032,0.452366659511675
121,"901926907",5,68.11,62.59,61.34,58.15,8,3,4,4,4,7,6,7,4,4,3,4,5,3,"Health Professions",1.34899599334797,1.16241658321755,1.16277840889317,0.600481024569803
663,"901926987",2,55.11,47.75,58.04,52.9,8,1,3,2,3,5,3,8,3,1,6,4,6,1,"Biological & Life Sciences",0.315765267094115,-0.161451400223537,0.788027185061531,-0.00701930086392933
445,"901926999",2,70.93,58.73,64.29,57.25,8,4,3,4,6,7,6,5,3,6,4,4,5,2,"Math & Computer Science",1.57312758165843,0.818068172430316,1.49778329080328,0.496338111638306
453,"901927002",1,53.8,53.25,48.68,49.08,5,1,2,2,1,6,1,7,4,2,5,2,5,2,"Math & Computer Science",0.21164740160238,0.329200480431854,-0.274903558897311,-0.449048109084283
121,"901927045",5,38.31,49.83,59.02,44.92,8,2,2,4,6,3,2,3,8,2,8,8,4,1,"Health Professions",-1.01948674837241,0.0241042200970472,0.899316942441837,-0.930419795523202
562,"901927051",3,49.25,56.77,59.02,51.69,8,2,3,3,2,6,3,8,5,4,2,5,1,4,"Physical Science",-0.149983352586471,0.643217684051304,0.899316942441837,-0.147033661582942
115,"901927159",2,51.66,57.22,58.3,50.86,8,2,3,3,2,5,4,8,6,3,5,4,1,3,"Health Professions",0.0415617282036673,0.6833619288322,0.817553039060388,-0.243076570175322
115,"901927178",2,58,60.35,48.6,54.14,7,2,4,3,3,6,1,3,1,1,7,3,1,3,"Health Professions",0.545460405469011,0.96258745364154,-0.283988437050805,0.136466490286133
562,"901927308",5,48.33,56.77,46.21,38.24,6,2,4,3,5,7,4,8,5,5,5,5,1,4,"Physical Science",-0.22310429629059,0.643217684051304,-0.55539917188645,-1.70339163817031
445,"901927323",3,70.93,54.96,65.28,59.19,7,2,4,2,1,6,5,7,3,3,4,4,1,2,"Math & Computer Science",1.57312758165843,0.481748610599257,1.61020865795277,0.720823946179532
768,"901927329",5,70.93,65.71,52.39,48.03,6,4,4,3,6,3,3,4,4,3,5,3,1,2,"Engineering",1.57312758165843,1.44075001369843,0.146407665470991,-0.570548174171029
123,"901927348",1,53.18,62.59,68.3,55.65,7,1,4,1,4,6,5,6,6,4,5,4,4,2,"Health Professions",0.162370243888734,1.16241658321755,1.95316280824719,0.311195155315645
664,"901927698",3,44.62,55.16,68.3,42.88,6,2,4,3,1,4,4,6,4,4,4,3,5,2,"Biological & Life Sciences",-0.517972449706115,0.499590497168544,1.95316280824719,-1.16647706483459
114,"901927779",3,65.98,56.82,60.8,57.91,7,3,4,1,3,8,5,6,5,6,6,2,2,2,"Health Professions",1.17970511281561,0.647678155693626,1.10145548135709,0.572709581121403
453,"901927895",1,70.93,52.34,59.02,51.69,7,1,4,2,1,7,4,6,3,4,3,4,5,4,"Math & Computer Science",1.57312758165843,0.248019896541599,0.899316942441837,-0.147033661582942
663,"901927959",5,49.53,59.5,43.05,44.79,4,3,3,3,2,8,3,4,2,4,2,4,2,2,"Biological & Life Sciences",-0.127729152328695,0.886759435722071,-0.914251858949478,-0.945462660724418
453,"901928106",2,55.65,46.68,60.71,49.18,8,2,2,3,1,6,3,6,4,5,3,5,3,2,"Math & Computer Science",0.358684081876967,-0.256905493369222,1.09123499343441,-0.437476674314117
664,"901928108",4,55.65,59.5,52.39,66.43,7,3,3,3,6,5,5,5,4,5,3,5,5,2,"Biological & Life Sciences",0.358684081876967,0.886759435722071,0.146407665470991,1.55859582353958
453,"901928115",2,70.93,67.49,59.29,45.06,6,3,3,1,1,8,5,5,8,2,3,4,1,6,"Math & Computer Science",1.57312758165843,1.59954280416508,0.929978406209881,-0.914219786844969
663,"901928156",1,49.61,59.5,54.18,55.33,8,1,3,3,1,5,3,5,3,2,3,5,1,1,"Biological & Life Sciences",-0.121370809397903,0.886759435722071,0.349681814155428,0.274166564051112
115,"901928164",3,56.98,66.29,54.48,45.23,7,2,4,2,5,7,2,6,5,4,4,5,5,3,"Health Professions",0.4643915331014,1.49249148474936,0.383750107231032,-0.894548347735686
448,"901928165",4,70.93,66.29,68.3,60.82,8,2,3,4,6,8,2,4,4,2,3,8,1,4,"Math & Computer Science",1.57312758165843,1.49249148474936,1.95316280824719,0.909438332933244
115,"901928260",5,70.93,60.21,59.02,54.61,7,4,3,2,5,8,6,5,6,4,4,3,4,4,"Health Professions",1.57312758165843,0.95009813304304,0.899316942441837,0.190852233705915
556,"901928284",1,55.65,51.61,54.18,45.53,5,3,4,2,5,8,5,8,6,5,5,6,4,4,"Physical Science",0.358684081876967,0.182897010563701,0.349681814155428,-0.859834043425187
663,"901928289",1,53.77,33.36,58.04,55.1,8,1,4,3,5,5,3,3,3,3,4,2,2,3,"Biological & Life Sciences",0.209263023003333,-1.44517513888373,0.788027185061531,0.24755226407973
121,"901928327",4,62.06,62.59,57.26,51.66,6,3,4,2,4,6,4,6,5,4,5,4,1,4,"Health Professions",0.868146309206755,1.16241658321755,0.699449623064961,-0.150505092013992
663,"901928345",2,49.53,38.46,52.39,52.52,6,1,2,4,1,6,4,5,4,4,2,4,6,4,"Biological & Life Sciences",-0.127729152328695,-0.990207031366915,0.146407665470991,-0.0509907529905608
663,"901928348",3,42.18,47.69,30.69,54.97,7,3,3,3,5,8,4,5,3,3,6,4,5,3,"Biological & Life Sciences",-0.7119019090953,-0.166803966194323,-2.31786553366436,0.232509398878514
663,"901928376",3,41.58,61.67,51.11,45.16,6,2,3,2,1,8,2,7,5,1,6,5,1,4,"Biological & Life Sciences",-0.759589481076248,1.08034390499883,0.00104961501508065,-0.902648352074803
453,"901928493",2,53.18,48.42,48.83,52.04,5,1,3,1,3,7,5,4,3,4,2,3,3,5,"Math & Computer Science",0.162370243888734,-0.101681080216425,-0.257869412359509,-0.10653363988736
453,"901928550",5,63.04,70.79,64.29,53.26,6,3,4,2,4,7,7,3,6,5,5,5,1,3,"Math & Computer Science",0.946036010108969,1.89393393255832,1.49778329080328,0.0346378643086694
450,"901928581",1,55.55,60.39,54.18,51.86,7,1,4,3,4,5,4,6,5,3,3,4,1,2,"Math & Computer Science",0.350736153213476,0.966155830955398,0.349681814155428,-0.127362222473659
663,"901928636",2,46.63,52.52,48.68,55.35,5,1,2,3,1,5,3,3,6,6,5,4,1,1,"Biological & Life Sciences",-0.358219083569941,0.264077594453957,-0.274903558897311,0.276480851005146
115,"901928899",4,44.65,46.85,37.93,52.83,5,1,4,1,1,8,4,3,3,4,5,5,1,3,"Health Professions",-0.515588071107067,-0.241739889785328,-1.49568406077312,-0.0151193052030458
453,"901929009",1,54.83,54.12,38.78,32.93,4,3,2,2,1,4,3,5,4,5,5,3,5,4,"Math & Computer Science",0.293511066836339,0.406812687008252,-1.39915723039224,-2.31783482446614
562,"901929013",1,61.23,56.82,49.95,53.28,5,2,3,2,5,5,3,6,5,5,5,6,4,4,"Physical Science",0.802178501299778,0.647678155693626,-0.130681118210587,0.036952151262703
663,"901929151",3,50.8,49.06,40.66,55.45,4,1,3,1,4,8,4,6,2,1,8,8,1,4,"Biological & Life Sciences",-0.0267904583023572,-0.0445870431947072,-1.18566259378512,0.288052285775312
664,"901929182",1,59.64,52.93,59.97,47.18,7,1,3,2,1,5,3,4,4,5,4,2,2,2,"Biological & Life Sciences",0.675806435550267,0.300653461920995,1.00719987051458,-0.668905369717443
453,"901929305",2,40.85,44.1,40.17,46.3,7,1,4,2,1,8,5,5,5,3,1,5,4,4,"Math & Computer Science",-0.817609360319734,-0.487065830113023,-1.24130747247528,-0.770733995694907
114,"901929423",5,64.32,70.79,59.31,49.93,7,3,4,3,6,5,3,5,5,2,3,4,1,2,"Health Professions",1.04776949700166,1.89393393255832,0.932249625748255,-0.350690913537869
453,"901929547",2,55.88,55.98,57.26,48.87,4,2,3,3,1,6,3,5,5,4,3,4,4,3,"Math & Computer Science",0.376964317802997,0.57274223210262,0.699449623064961,-0.473348122101632
562,"901929754",5,61.32,56.88,59.41,62.07,8,2,3,2,3,6,2,8,6,5,2,6,8,6,"Physical Science",0.80933163709692,0.653030721664411,0.943605723440122,1.05408126756032
445,"901929764",1,63.79,52.55,59.41,57.72,8,1,2,1,5,8,5,4,4,4,3,4,2,2,"Math & Computer Science",1.00564547508515,0.266753877439349,0.943605723440122,0.550723855058088
448,"901929813",4,46.02,70.79,62.01,56.87,7,2,4,3,1,8,7,7,3,4,1,4,5,1,"Math & Computer Science",-0.406701448417238,1.89393393255832,1.23886426342869,0.452366659511675
448,"901929862",1,32.98,49.26,68.3,40.42,6,2,4,1,2,4,1,5,2,1,4,4,1,3,"Math & Computer Science",-1.44311134613649,-0.0267451566254206,1.95316280824719,-1.45113436018069
115,"901929983",4,44.62,53.25,54.18,48.21,7,2,3,3,1,8,3,6,5,5,5,5,5,3,"Health Professions",-0.517972449706115,0.329200480431854,0.349681814155428,-0.54971959158473
121,"901930185",5,55.65,70.79,56.9,49.9,7,2,4,2,6,6,3,5,3,5,2,4,5,3,"Health Professions",0.358684081876967,1.89393393255832,0.658567671374236,-0.354162343968919
768,"901930284",2,43.61,50.82,46.24,54.05,6,1,3,2,5,8,2,4,4,3,2,2,6,2,"Engineering",-0.598246529207376,0.112421558615018,-0.551992342578889,0.126052198992983
115,"901930390",5,66.74,62.59,50.09,62.07,3,3,4,2,2,5,2,4,4,4,5,4,1,5,"Health Professions",1.24010937065814,1.16241658321755,-0.114782581441972,1.05408126756032
